,title,company,location,link
0,Pessoa Desenvolvedora JAVA Pleno/Sênior,CATSKILLET,"Home Office in Fortaleza, CE",/rc/clk?jk=6f8b2d8c803a6111&bb=3PNzwsBkgjhDtvRWyxriRSAfD0m-aKGD5inbw9GHAZ62igPad2w5XoDWFWArhEjQr8rCK-l_qxK74818dAPAWpGn5zVY1f5sDFbEYA5IQxrEiasOv--LOlDjlHjTFsp9&xkcb=SoCz67M3A6qp0OSRbJ0LbzkdCdPP&fccid=98ab9743ef3d9c1e&vjs=3
1,Desenvolvedor Java Junior/MidLevel - Trabalho Remoto,BairesDev,"Home Office in Fortaleza, CE",/rc/clk?jk=4d197936a728df7f&bb=3PNzwsBkgjhDtvRWyxriRZZwCZFwHMlRRkPB5ZThIun92CwlJe0pU7CiKLwK6ihX9gfYeaa92yee3ndaUOhJwbzHJaqsPEXd7rmLq-2dIa_E5CNXjlma7wvNDN5ZwDGi&xkcb=SoAH67M3A6qp0OSRbJ0KbzkdCdPP&fccid=29707109e86166e5&vjs=3
2,Pessoa Desenvolvedora FullStack Java / React Pleno,CATSKILLET,"Home Office in Fortaleza, CE",/rc/clk?jk=19c5ff64eabfc86c&bb=3PNzwsBkgjhDtvRWyxriRbe_afKjxH-6SmGBtXEUyf1at0LhCnA8VDzio-aE393aaKs2Tc3NFI3x1r_p3IYNqcpMH_RcHV51bpgXE59NLeqib7g9MJFVbsZJmquTynnH&xkcb=SoCa67M3A6qp0OSRbJ0JbzkdCdPP&fccid=98ab9743ef3d9c1e&vjs=3
3,Desenvolvedor Java Pleno,Engesoftware,"Fortaleza, CE",/rc/clk?jk=8bb09dd22e8c339c&bb=3PNzwsBkgjhDtvRWyxriRQJ0VBXAxwOVwHPQAtivdB1gsNZGJ-UGZtFME9AfNdGPhHDeQVzqsPxL6fWDdeHl_kwed9RRG_gh-HAx6e2LofMhjG7pcDPqqOSb82F006_4&xkcb=SoAu67M3A6qp0OSRbJ0IbzkdCdPP&fccid=4e8e328d7d5719dd&cmp=ENGESOFTWARE&ti=Desenvolvedor+Java+Pleno&vjs=3
4,"Senior Java Developer, Trilogy (Remote) - $60,000/year USD",Crossover,"Home Office in Fortaleza, CE",/pagead/clk?mo=r&ad=-6NYlbfkN0Bp-pWyh_yd7-BMq_HjiKF8q-wDEEHI6K3EhZcTze0zErvmw_OvEuRx_ZNMEjESMTvQARhr1LRV_TyXT0AYrx-qSnKYEVHTTB1AlECWmgdf30ojbM9Y0WuBVBprEVqoto3qJMiMf40KW1biRF9AvLMwwwrWGSuGN_ahA3yc_LsfkpujfmiWiPvxiOrTxEfRSrfo_xWDkY2qX_42Jj4D6x1rMCLHqTvXMyhq8oa_MvtATZ_QyUGx-YKNGRvDabFQ2ZSMouA6AwC9zmtfHbpffv9ieFmM_d521_bL_rc-OSOm5AGn_kx5E0PnsD5ikNBGKWXZKLMurRUHyr8oZayUOn0XTFexSFBedgLHaonUKA3FhdRILoLvXXgkvupbtapq6B5H7KPb07GPx84An1KnZs0ulS-2_SlXoLV1eZfDR-DD7kIHTG3-bnSNi7HyX8QI_QZHOEACpDNX7NezL7JI9I4bHJqsOZKtLTg9KgWc6XRNHJyu_8V-JJ-IPSAvnmnP36M0acbRS7FApCpXozjYqTbKKBRuAhreI-dqHys6dimPL_PhdD4USZx6o1kboBD7dJ-CX8xQavFiNqfhvYkUyDQl-njrnxUONqAkRlclqOFU8EAQcEa7IZMZbeFXhbRlRjuDkKlUc77q7lLx_7_uGx4NFgzSYLI5y7DDfhxx19h4TyC6DjUCRaa8IDhJZy8Z7nCUYgSIv4dUe1LAIoeaNUPqs1CzBkoJ6gMSXD-lWoDXq1u1GfT0BCrUJQ52D_xtYplTVH0Ws9whu3l1DsXAy3PRqX6SMSQfpQKgdp-iV9Kmy9gVMM8IVPSCsM7tG5JeMFFdjKizYvVbPg==&xkcb=SoBU6_M3A6qp0OSRbJ0PbzkdCdPP&camk=nUmJqO2E8ri_h8qEu5TUYw==&p=4&fvj=0&vjs=3
5,Instrutor de Informática,Future Qualificação Profissional,"Fortaleza, CE",/rc/clk?jk=879d554daa456ca4&bb=3PNzwsBkgjhDtvRWyxriRT0TuL1COxvMfV8_V1H6ShZyFob-Z4sJlvWvVKdQhiDmqPcYuEkW-dIrUrGpc64Ne03NPnEhdVg0V7TipZ4f5WBoYVQmcEYFzmDcKha0m2IF&xkcb=SoAU67M3A6qp0OSRbJ0ObzkdCdPP&fccid=7c6a10c496e90ed2&vjs=3
6,Desenvolvedor Java Backend - Trabalho Remoto,BairesDev,"Home Office in Fortaleza, CE",/rc/clk?jk=9b099f5669a37fa3&bb=3PNzwsBkgjhDtvRWyxriRTkpmWlKJc047Ioq2cDBiG_G4kLqc7ms7Jnu62yXsX8IO0azCzdJJtqNXP3PJapBY6MVMVHBQGVOo_e9Wf1BpytCBjxRBlxgcKAjZJt-GhP4&xkcb=SoD267M3A6qp0OyRbJ0LbzkdCdPP&fccid=29707109e86166e5&vjs=3
7,"Senior Developer, Trilogy (Remote) - $100,000/year USD",Crossover,"Home Office in Fortaleza, CE",/pagead/clk?mo=r&ad=-6NYlbfkN0Bp-pWyh_yd7-BMq_HjiKF8q-wDEEHI6K3EhZcTze0zErvmw_OvEuRxNFqxZsLBuG4hc07Fn4KIgrb2zvN2YspedLI34LyWegI7KIbd16Hnf38ebodhlo3G8aFgNQC5r-E957flXEQrcUbahG_B_E9kLoRY7juzAioqsD1Kwcbh3oLTLXVfyTi1hOvVCcNd32vEgoI0aLWBfXr3xTinP92KYCdapEjwKRS9saz-0K058grrCbnwAaS94FKHQq5mL-TKjiyftfhokGcUN1YITmjHVErYce9lKuW47rFWvE_WE-_nkT3Iu3TWHU-jbhEfIEw7S4IH8OMf4hVTedyJi-KWxMLnKEI-7SS1RHDZLx9TUlfirlS5xvGbFk6GKeqYKEZkE2ZohjPDLBTH7BM1sSoG2uRWlIo9LNzE22sWfE4k03bRyfXmi02d0Elb9QQ9iSEVqqDOaSVqtEoAs2grfBRkW_wKBLtoGJjA51v3j2Q5hhJ25X6BXNMGm4Gd7tHMO4cHvv11aBlsGYcEQG8m-p2TOePjAqiTrYZ5jHxDmma3OkhkrfkBvs_iHubQLWgdUpFLA6sYBwGJqHPWWRzlB0Z03r-SyMvCKjClFOX5fYfn7ezt-j_3ZCN2FQE9VB1aWBBPpWXPCiTFsWPt-pVPvac3hjtvM-wL5y4kvOoC6vCHlC2PBXri9EILljBsRXTc_jpTgEs2rmZldeYmB1b0b6u7JEH4JuUBLnBXvLJk6CaZ6L-xEGzPiyLj_X9U4ee5cVgtc_5QqReiu0hQyPXS_c7l6WwnFWn4TOFFDkw-dCgViFt_COiPFxRXwumr_pU0bd0=&xkcb=SoC26_M3A6qp0OyRbJ0KbzkdCdPP&camk=nUmJqO2E8rggc6-94QdDeg==&p=7&fvj=0&vjs=3
8,Pessoa Desenvolvedora Back-End Node.JS Pleno,CATSKILLET,"Home Office in Fortaleza, CE",/rc/clk?jk=223a04d47bcc2654&bb=3PNzwsBkgjhDtvRWyxriRV-7ePolFjgNSNaq82ndE61Ms-WsRE6I9zmWnIc6We24yiwHAVGkxCV4ZdX7a5p0fmRERK5etEyWxjmWM97NDjcWdCVM8pH7vkZxpBZ6lhdQ&xkcb=SoDf67M3A6qp0OyRbJ0JbzkdCdPP&fccid=98ab9743ef3d9c1e&vjs=3
9,ANALISTA DESENVOLVEDOR - FORTALEZA,OEmprego,"Fortaleza, CE",/rc/clk?jk=205b22364a19af6b&bb=3PNzwsBkgjhDtvRWyxriRVq8ER98hK5h_Yc6x3mW_FF5_Jp_LAWL69qtDusmDcVENRcvfNJLatDxtPUi4Qvwg_mhWBfbUEo7e3RD7SfZfU8AhVcrQcUIcp_xTKsljwUk&xkcb=SoBr67M3A6qp0OyRbJ0IbzkdCdPP&fccid=919b31f0a22ef58e&vjs=3
